iter	Passed	Remaining
0	51	20357
1	94	18840
2	136	18018
3	178	17666
4	220	17427
5	262	17265
6	305	17158
7	347	17036
8	389	16912
9	430	16792
10	473	16738
11	517	16716
12	558	16636
13	600	16567
14	642	16500
15	686	16479
16	729	16432
17	772	16388
18	815	16346
19	858	16310
20	902	16296
21	945	16250
22	987	16189
23	1033	16196
24	1079	16185
25	1125	16184
26	1167	16130
27	1209	16073
28	1253	16030
29	1297	15997
30	1340	15961
31	1385	15937
32	1428	15884
33	1471	15837
34	1514	15798
35	1556	15739
36	1602	15718
37	1645	15675
38	1688	15630
39	1732	15590
40	1779	15579
41	1822	15536
42	1865	15488
43	1909	15453
44	1955	15424
45	2002	15407
46	2046	15369
47	2089	15321
48	2132	15278
49	2177	15244
50	2220	15197
51	2263	15151
52	2307	15106
53	2352	15072
54	2397	15037
55	2440	14993
56	2484	14951
57	2528	14908
58	2572	14866
59	2618	14837
60	2662	14797
61	2706	14756
62	2749	14707
63	2794	14673
64	2838	14631
65	2881	14581
66	2925	14538
67	2967	14489
68	3013	14456
69	3057	14414
70	3099	14361
71	3142	14315
72	3188	14282
73	3232	14241
74	3276	14198
75	3318	14148
76	3361	14099
77	3406	14062
78	3451	14022
79	3495	13980
80	3537	13932
81	3580	13883
82	3623	13840
83	3669	13804
84	3712	13757
85	3754	13709
86	3798	13666
87	3845	13632
88	3890	13593
89	3932	13546
90	3975	13498
91	4017	13451
92	4064	13418
93	4109	13377
94	4153	13333
95	4194	13284
96	4239	13243
97	4285	13205
98	4331	13168
99	4374	13123
100	4418	13081
101	4463	13039
102	4507	12996
103	4550	12951
104	4594	12908
105	4638	12866
106	4686	12832
107	4729	12786
108	4773	12742
109	4816	12696
110	4860	12655
111	4905	12613
112	4948	12568
113	4992	12525
114	5034	12476
115	5078	12433
116	5124	12394
117	5167	12350
118	5209	12302
119	5251	12253
120	5296	12212
121	5341	12172
122	5384	12126
123	5429	12085
124	5474	12043
125	5517	11998
126	5564	11960
127	5608	11917
128	5650	11869
129	5694	11826
130	5738	11783
131	5782	11740
132	5826	11697
133	5870	11653
134	5913	11607
135	5958	11565
136	6001	11521
137	6045	11477
138	6089	11433
139	6134	11392
140	6179	11351
141	6222	11304
142	6264	11259
143	6307	11213
144	6351	11170
145	6395	11126
146	6438	11080
147	6480	11034
148	6523	10988
149	6567	10946
150	6611	10902
151	6653	10855
152	6697	10811
153	6739	10765
154	6782	10721
155	6826	10677
156	6870	10633
157	6913	10589
158	6955	10543
159	7002	10503
160	7046	10459
161	7089	10415
162	7132	10371
163	7176	10327
164	7221	10284
165	7264	10240
166	7306	10194
167	7349	10149
168	7394	10107
169	7438	10063
170	7481	10018
171	7523	9972
172	7566	9928
173	7611	9885
174	7655	9842
175	7700	9800
176	7743	9755
177	7785	9709
178	7830	9667
179	7874	9624
180	7919	9582
181	7964	9540
182	8008	9495
183	8054	9455
184	8098	9411
185	8142	9367
186	8184	9322
187	8228	9278
188	8271	9234
189	8316	9192
190	8360	9148
191	8403	9103
192	8448	9061
193	8492	9018
194	8536	8974
195	8580	8930
196	8623	8886
197	8668	8843
198	8712	8799
199	8756	8756
200	8798	8711
201	8842	8667
202	8886	8624
203	8931	8581
204	8974	8536
205	9018	8492
206	9063	8450
207	9109	8408
208	9152	8364
209	9195	8319
210	9239	8276
211	9284	8233
212	9327	8188
213	9370	8144
214	9413	8099
215	9454	8053
216	9498	8010
217	9541	7966
218	9584	7921
219	9627	7877
220	9668	7831
221	9715	7789
222	9760	7747
223	9804	7703
224	9847	7659
225	9891	7615
226	9938	7574
227	9988	7534
228	10034	7492
229	10083	7452
230	10131	7412
231	10179	7371
232	10226	7329
233	10271	7286
234	10316	7243
235	10362	7200
236	10409	7159
237	10457	7118
238	10508	7078
239	10556	7037
240	10603	6995
241	10648	6952
242	10690	6907
243	10734	6863
244	10780	6820
245	10823	6775
246	10867	6731
247	10911	6687
248	10956	6644
249	10999	6599
250	11042	6555
251	11087	6511
252	11132	6468
253	11177	6424
254	11222	6381
255	11264	6336
256	11306	6290
257	11350	6246
258	11394	6203
259	11440	6160
260	11482	6115
261	11527	6071
262	11574	6029
263	11618	5985
264	11659	5939
265	11702	5895
266	11747	5851
267	11791	5807
268	11834	5763
269	11877	5718
270	11918	5673
271	11964	5630
272	12010	5587
273	12053	5542
274	12095	5498
275	12138	5453
276	12183	5409
277	12228	5366
278	12270	5321
279	12313	5277
280	12356	5232
281	12400	5188
282	12444	5144
283	12491	5102
284	12539	5059
285	12584	5016
286	12630	4973
287	12675	4929
288	12717	4884
289	12759	4839
